Word	[(Document,Count)
Rey	(1, 2)  (2, 1)  (3, 2)  (5, 5) 
then	(1, 12)  (2, 6)  (3, 4)  (4, 8)  (5, 6)  (6, 2)  (7, 6)  (8, 9)  (9, 2)  (10, 3) 
joined	(1, 3)  (3, 4)  (4, 1)  (5, 4)  (7, 2)  (8, 6)  (9, 1) 
Arsenal	(1, 52)  (3, 1)  (5, 6) 
2014	(1, 14)  (2, 5)  (3, 9)  (4, 6)  (5, 22)  (7, 5)  (8, 1)  (9, 1) 
31	(1, 2)  (2, 2)  (3, 1)  (4, 2)  (5, 8)  (6, 1)  (8, 1)  (9, 1)  (10, 2) 
7	(1, 9)  (2, 15)  (3, 4)  (4, 7)  (5, 20)  (7, 8)  (8, 4)  (9, 2)  (10, 1) 
35	(1, 1)  (2, 3)  (4, 3)  (5, 1)  (7, 5)  (8, 1) 
two	(1, 10)  (2, 17)  (3, 9)  (4, 20)  (5, 51)  (6, 1)  (7, 25)  (8, 15)  (9, 3)  (10, 10) 
FA	(1, 18)  (5, 7) 
Cups	(1, 1)  (2, 1)  (3, 1)  (5, 3) 
2015	(1, 21)  (2, 5)  (3, 32)  (4, 7)  (5, 14)  (7, 3) 
PFA	(1, 8)  (5, 3) 
Fans	(1, 4)  (5, 1) 
Player	(1, 12)  (2, 1)  (3, 6)  (5, 32) 
Year	(1, 10)  (2, 3)  (3, 6)  (4, 1)  (5, 19) 
voted	(1, 2)  (3, 2)  (5, 2)  (7, 2) 
into	(1, 6)  (2, 21)  (3, 4)  (4, 11)  (5, 14)  (6, 3)  (7, 25)  (8, 33)  (9, 10)  (10, 7) 
Team	(1, 4)  (2, 1)  (3, 7)  (5, 2)  (9, 1) 
In	(1, 22)  (2, 50)  (3, 14)  (4, 78)  (5, 65)  (6, 4)  (7, 73)  (8, 51)  (9, 3)  (10, 14) 
2018	(1, 6)  (2, 2)  (3, 10)  (4, 24)  (5, 24)  (7, 6)  (8, 1) 
moved	(1, 3)  (3, 1)  (4, 2)  (5, 2)  (8, 3)  (9, 1) 
rivals	(1, 3)  (2, 1)  (3, 4)  (5, 5)  (8, 1) 
Manchester	(1, 9)  (5, 25) 
United	(1, 12)  (2, 26)  (4, 21)  (5, 71)  (7, 13)  (8, 21)  (9, 19)  (10, 6) 
swap	(1, 2) 
deal	(1, 6)  (3, 3)  (5, 3)  (6, 1)  (7, 1) 
Inter	(1, 8)  (3, 5)  (5, 1)  (7, 1) 
Milan	(1, 6)  (3, 4)  (5, 3)  (8, 2) 
year	(1, 6)  (2, 18)  (3, 8)  (4, 12)  (5, 24)  (7, 13)  (8, 12)  (9, 6)  (10, 3) 
later	(1, 14)  (2, 12)  (3, 6)  (4, 5)  (5, 26)  (7, 5)  (8, 15)  (9, 1) 
Serie	(1, 8)  (3, 10)  (5, 14) 
A	(1, 11)  (2, 12)  (3, 13)  (4, 8)  (5, 28)  (6, 5)  (7, 11)  (8, 7)  (9, 1)  (10, 2) 
Coppa	(1, 4)  (3, 6)  (5, 3) 
Italia	(1, 4)  (3, 6)  (5, 4) 
made	(1, 16)  (2, 9)  (3, 9)  (4, 10)  (5, 24)  (6, 1)  (7, 10)  (8, 3)  (9, 3)  (10, 1) 
international	(1, 12)  (2, 14)  (3, 1)  (4, 16)  (5, 36)  (7, 11)  (8, 3)  (9, 1)  (10, 12) 
debut	(1, 11)  (3, 7)  (5, 8) 
at	(1, 31)  (2, 29)  (3, 24)  (4, 32)  (5, 82)  (6, 8)  (7, 30)  (8, 29)  (9, 9)  (10, 12) 
age	(1, 1)  (2, 5)  (4, 3)  (5, 11)  (7, 3)  (8, 4)  (10, 4) 
has	(1, 7)  (2, 70)  (3, 5)  (4, 100)  (5, 32)  (6, 3)  (7, 40)  (8, 30)  (9, 16)  (10, 27) 
since	(1, 5)  (2, 24)  (3, 3)  (4, 27)  (5, 9)  (6, 1)  (7, 11)  (8, 10)  (10, 9) 
earned	(1, 1)  (2, 1)  (3, 2)  (5, 8) 
152	(1, 2)  (10, 3) 
caps	(1, 3)  (3, 2)  (5, 4) 
appearing	(1, 1)  (3, 1)  (5, 1) 
eight	(1, 3)  (2, 3)  (4, 2)  (5, 5)  (7, 1)  (8, 1) 
major	(1, 3)  (2, 12)  (4, 22)  (5, 6)  (7, 11)  (8, 8)  (9, 7)  (10, 5) 
tournaments	(1, 1)  (2, 1)  (3, 1)  (5, 3)  (7, 1) 
both	(1, 4)  (2, 10)  (3, 4)  (4, 6)  (5, 14)  (6, 1)  (7, 8)  (8, 6)  (9, 2)  (10, 3) 
country	(1, 2)  (2, 76)  (4, 63)  (5, 10)  (6, 3)  (7, 65)  (8, 6)  (9, 3)  (10, 5) 
s	(1, 69)  (2, 101)  (3, 34)  (4, 204)  (5, 176)  (6, 11)  (7, 87)  (8, 50)  (9, 11)  (10, 18) 
capped	(1, 2)  (5, 3) 
top	(1, 7)  (2, 10)  (3, 1)  (4, 12)  (5, 34)  (7, 4)  (8, 2) 
goalscorer	(1, 4)  (5, 19) 
led	(1, 1)  (2, 18)  (3, 2)  (4, 16)  (5, 4)  (6, 1)  (7, 17)  (8, 7)  (9, 3)  (10, 1) 
their	(1, 9)  (2, 16)  (3, 5)  (4, 13)  (5, 32)  (6, 2)  (7, 33)  (8, 22)  (9, 5)  (10, 13) 
first	(1, 61)  (2, 36)  (3, 27)  (4, 26)  (5, 123)  (7, 27)  (8, 17)  (9, 4)  (10, 3) 
victory	(1, 13)  (2, 2)  (3, 13)  (5, 13)  (7, 2)  (9, 2)  (10, 3) 
tournament	(1, 10)  (3, 8)  (5, 25) 
by	(1, 34)  (2, 122)  (3, 16)  (4, 120)  (5, 77)  (6, 10)  (7, 154)  (8, 104)  (9, 18)  (10, 59) 
winning	(1, 11)  (2, 1)  (3, 3)  (4, 1)  (5, 19) 
Am	(1, 15)  (2, 2)  (3, 17)  (5, 1) 
rica	(1, 15)  (2, 2)  (3, 17)  (5, 1)  (7, 1) 
scoring	(1, 17)  (3, 9)  (5, 43) 
penalty	(1, 10)  (3, 18)  (4, 1)  (5, 30)  (7, 1) 
final	(1, 17)  (2, 3)  (3, 17)  (5, 43)  (8, 1)  (9, 1) 
captained	(1, 1)  (5, 3) 
repeat	(1, 2)  (3, 1)  (5, 1)  (7, 1) 
this	(1, 7)  (2, 12)  (4, 12)  (5, 18)  (6, 3)  (7, 24)  (8, 15)  (9, 2)  (10, 10) 
triumph	(1, 1)  (5, 2)  (6, 1) 
Centenario	(1, 3)  (3, 3) 
Golden	(1, 3)  (5, 12)  (7, 3)  (8, 4) 
Ball	(1, 4)  (2, 1)  (5, 1) 
Best	(1, 1)  (2, 7)  (3, 4)  (5, 15) 
Club	(1, 3)  (3, 2)  (5, 11) 
Early	(1, 1)  (2, 1)  (3, 1)  (4, 1)  (5, 1)  (6, 2)  (7, 3)  (8, 7) 
had	(1, 14)  (2, 24)  (3, 3)  (4, 26)  (5, 40)  (6, 5)  (7, 27)  (8, 21)  (9, 10)  (10, 3) 
brief	(1, 2)  (7, 1)  (10, 1) 
step	(1, 1)  (2, 1)  (5, 2) 
Universidad	(1, 3)  (3, 1) 
Cat	(1, 2) 
lica	(1, 2) 
Academy	(1, 1)  (2, 4)  (4, 1)  (8, 2)  (9, 1) 
based	(1, 1)  (2, 2)  (4, 14)  (5, 1)  (6, 1)  (7, 14)  (8, 2)  (9, 3)  (10, 2) 
Rancagua	(1, 1) 
1999	(1, 1)  (2, 2)  (4, 1)  (7, 2)  (8, 2) 
being	(1, 7)  (2, 16)  (3, 1)  (4, 10)  (5, 18)  (6, 1)  (7, 12)  (8, 8)  (9, 2)  (10, 10) 
coached	(1, 1) 
former	(1, 3)  (2, 1)  (3, 4)  (4, 2)  (5, 11)  (7, 4)  (8, 7)  (9, 3) 
Ren	(1, 1)  (2, 2)  (5, 1) 
Valenzuela	(1, 1) 
addition	(1, 1)  (2, 3)  (3, 1)  (4, 3)  (5, 2)  (7, 4)  (8, 3)  (10, 2) 
represented	(1, 1)  (2, 1)  (3, 1)  (4, 2)  (5, 1)  (7, 4)  (8, 1)  (10, 2) 
Escuela	(1, 1) 
Bernardo	(1, 1)  (2, 2) 
O	(1, 1)  (2, 1)  (7, 1)  (8, 1)  (9, 1) 
Higgins	(1, 1) 
from	(1, 16)  (2, 80)  (3, 14)  (4, 75)  (5, 47)  (6, 9)  (7, 86)  (8, 71)  (9, 12)  (10, 33) 
Tocopilla	(1, 3) 
championships	(1, 1)  (2, 1) 
Born	(1, 1) 
product	(1, 1)  (4, 1)  (5, 1)  (7, 1) 
C	(1, 4)  (2, 22)  (3, 1)  (4, 4)  (5, 3)  (7, 9)  (8, 6)  (9, 2) 
D	(1, 1)  (2, 1)  (4, 2)  (5, 3)  (7, 2)  (8, 1)  (9, 1) 
prolific	(1, 1)  (5, 5)  (8, 1) 
youth	(1, 2)  (2, 1)  (3, 1)  (5, 6)  (7, 1)  (10, 8) 
ranks	(1, 1)  (2, 3)  (4, 6)  (7, 3)  (8, 1)  (9, 1) 
where	(1, 6)  (2, 7)  (3, 9)  (4, 4)  (5, 13)  (7, 11)  (8, 5)  (9, 1)  (10, 5) 
teammate	(1, 1)  (5, 6) 
current	(1, 1)  (4, 5)  (7, 3)  (8, 3) 
players	(1, 4)  (2, 3)  (3, 2)  (4, 2)  (5, 18) 
such	(1, 1)  (2, 14)  (4, 39)  (5, 4)  (7, 29)  (8, 27)  (9, 3)  (10, 23) 
Charles	(1, 1)  (6, 1)  (7, 3)  (8, 1) 
Ar	(1, 1) 
nguiz	(1, 1) 
Eduardo	(1, 4)  (2, 5)  (7, 1) 
Vargas	(1, 4) 
February	(1, 9)  (3, 1)  (4, 2)  (5, 7)  (7, 1)  (8, 1) 
2005	(1, 2)  (2, 2)  (4, 2)  (5, 5)  (6, 1)  (7, 3)  (8, 2)  (10, 1) 
promoted	(1, 2)  (2, 1)  (4, 1)  (5, 1) 
manager	(1, 5)  (3, 2)  (5, 18) 
Nelson	(1, 1) 
Acosta	(1, 1) 
against	(1, 59)  (2, 15)  (3, 28)  (4, 6)  (5, 132)  (6, 2)  (7, 24)  (8, 5)  (9, 2)  (10, 9) 
Deportes	(1, 3) 
Temuco	(1, 1) 
scored	(1, 66)  (3, 29)  (5, 121) 
goal	(1, 64)  (3, 26)  (4, 1)  (5, 111)  (7, 1)  (8, 2)  (10, 2) 
2	(1, 46)  (2, 20)  (3, 25)  (4, 27)  (5, 82)  (7, 14)  (8, 7)  (9, 3)  (10, 2) 
over	(1, 22)  (2, 19)  (3, 20)  (4, 40)  (5, 70)  (6, 2)  (7, 31)  (8, 15)  (9, 4)  (10, 9) 
Concepci	(1, 1) 
n	(1, 4)  (2, 75)  (3, 4)  (4, 3)  (5, 1)  (6, 9)  (7, 32)  (8, 1) 
March	(1, 5)  (2, 3)  (3, 4)  (4, 4)  (5, 13)  (6, 1)  (7, 4)  (9, 2) 
played	(1, 7)  (2, 3)  (3, 8)  (4, 1)  (5, 16)  (6, 1)  (7, 5)  (8, 3)  (10, 2) 
Libertadores	(1, 2)  (3, 1) 
game	(1, 8)  (2, 2)  (3, 9)  (5, 25)  (10, 3) 
Once	(1, 1)  (8, 1)  (10, 1) 
Caldas	(1, 1) 
16	(1, 6)  (3, 10)  (4, 3)  (5, 23)  (6, 1)  (7, 6)  (8, 2)  (9, 1) 
which	(1, 15)  (2, 36)  (3, 7)  (4, 64)  (5, 57)  (6, 5)  (7, 71)  (8, 53)  (9, 15)  (10, 20) 
him	(1, 9)  (2, 8)  (3, 9)  (4, 1)  (5, 88)  (6, 8)  (7, 2) 
one	(1, 8)  (2, 38)  (3, 5)  (4, 46)  (5, 24)  (6, 4)  (7, 30)  (8, 14)  (9, 7)  (10, 7) 
youngest	(1, 1)  (5, 2) 
After	(1, 6)  (2, 4)  (3, 3)  (4, 12)  (5, 19)  (6, 1)  (7, 8)  (8, 5)  (9, 7) 
an	(1, 22)  (2, 35)  (3, 16)  (4, 48)  (5, 58)  (6, 5)  (7, 45)  (8, 20)  (9, 6)  (10, 14) 
impressive	(1, 2) 
season	(1, 34)  (3, 27)  (5, 72)  (7, 1) 
caught	(1, 1)  (3, 1) 
attention	(1, 1)  (7, 2) 
fee	(1, 3)  (3, 5)  (5, 5) 
21	(1, 5)  (2, 3)  (3, 1)  (4, 1)  (5, 7)  (6, 1)  (8, 2)  (9, 2) 
April	(1, 6)  (2, 3)  (3, 4)  (4, 4)  (5, 14)  (6, 2)  (7, 3) 
however	(1, 3)  (2, 7)  (3, 4)  (4, 4)  (5, 3)  (6, 1)  (7, 4) 
maturation	(1, 1) 
project	(1, 1)  (4, 2) 
immediately	(1, 1)  (4, 1)  (6, 4) 
loaned	(1, 1) 
giants	(1, 1)  (3, 1) 
long	(1, 5)  (2, 7)  (4, 5)  (5, 1)  (7, 6)  (8, 5)  (9, 1)  (10, 1) 
debuted	(1, 1) 
23	(1, 3)  (2, 3)  (3, 1)  (4, 4)  (5, 12)  (7, 4)  (9, 1) 
June	(1, 10)  (2, 4)  (3, 8)  (4, 2)  (5, 23)  (6, 5)  (7, 9)  (8, 3)  (9, 2)  (10, 1) 
draw	(1, 13)  (3, 2)  (5, 14) 
Antofagasta	(1, 1) 
29	(1, 3)  (2, 1)  (4, 1)  (5, 7)  (9, 1)  (10, 2) 
October	(1, 14)  (2, 1)  (3, 4)  (4, 6)  (5, 19)  (7, 4)  (9, 5) 
during	(1, 5)  (2, 15)  (3, 5)  (4, 18)  (5, 17)  (6, 7)  (7, 33)  (8, 12)  (9, 2)  (10, 4) 
derby	(1, 2)  (5, 6) 
de	(1, 5)  (2, 53)  (3, 4)  (4, 2)  (5, 9)  (6, 3)  (7, 60)  (8, 2)  (9, 5)  (10, 1) 
4	(1, 24)  (2, 11)  (3, 14)  (4, 15)  (5, 32)  (6, 1)  (7, 16)  (8, 4)  (9, 5)  (10, 2) 
win	(1, 49)  (2, 1)  (3, 18)  (5, 109)  (7, 1)  (10, 1) 
His	(1, 3)  (2, 2)  (3, 6)  (4, 1)  (5, 35)  (6, 4)  (7, 1) 
good	(1, 2)  (2, 1)  (3, 6)  (5, 2)  (6, 2)  (7, 1)  (10, 4) 
performances	(1, 2)  (2, 1)  (3, 3)  (5, 7) 
allowed	(1, 1)  (2, 4)  (3, 1)  (5, 6)  (7, 2)  (8, 3) 
break	(1, 3)  (3, 1)  (5, 4)  (7, 1) 
starting	(1, 1)  (3, 2)  (4, 1)  (5, 2)  (7, 1)  (8, 1)  (9, 1) 
lineup	(1, 1)  (5, 1) 
after	(1, 18)  (2, 16)  (3, 10)  (4, 13)  (5, 40)  (6, 3)  (7, 24)  (8, 10)  (9, 3)  (10, 6) 
successfully	(1, 2)  (2, 2)  (4, 4)  (6, 1)  (7, 2) 
challenging	(1, 1) 
veteran	(1, 1) 
striker	(1, 4)  (3, 2)  (5, 7) 
Mario	(1, 1)  (2, 1)  (5, 2) 
ceres	(1, 1) 
partnering	(1, 1) 
Humberto	(1, 1) 
Suazo	(1, 1) 
position	(1, 1)  (2, 2)  (3, 2)  (5, 3)  (6, 4)  (7, 7)  (10, 1) 
On	(1, 39)  (2, 6)  (3, 38)  (4, 3)  (5, 74)  (6, 3)  (7, 11)  (8, 2)  (9, 4)  (10, 3) 
November	(1, 7)  (2, 3)  (3, 5)  (4, 3)  (5, 24)  (6, 1)  (7, 2)  (8, 1)  (9, 3) 
brace	(1, 9)  (3, 1)  (5, 6) 
Serena	(1, 1) 
well	(1, 2)  (2, 9)  (3, 4)  (4, 14)  (5, 10)  (7, 17)  (8, 12)  (9, 4)  (10, 5) 
continental	(1, 1)  (2, 3)  (7, 1)  (8, 4) 
thrash	(1, 1) 
Alajuelense	(1, 1) 
Costa	(1, 1)  (5, 1) 
Rica	(1, 1) 
Sudamericana	(1, 2)  (3, 1) 
Nevertheless	(1, 1)  (2, 2)  (8, 1) 
runner	(1, 5)  (3, 3)  (5, 4) 
up	(1, 14)  (2, 13)  (3, 6)  (4, 8)  (5, 20)  (6, 3)  (7, 16)  (8, 9)  (9, 1)  (10, 2) 
that	(1, 14)  (2, 48)  (3, 15)  (4, 61)  (5, 55)  (6, 8)  (7, 58)  (8, 43)  (9, 9)  (10, 53) 
losing	(1, 2)  (2, 2)  (3, 2)  (4, 1)  (7, 1)  (10, 1) 
Pachuca	(1, 1) 
Mexico	(1, 2)  (2, 2)  (3, 3)  (5, 2)  (7, 4) 
starter	(1, 1) 
Torneo	(1, 1)  (3, 2) 
Clausura	(1, 2)  (3, 1) 
Audax	(1, 1) 
Italiano	(1, 1) 
3	(1, 27)  (2, 21)  (3, 18)  (4, 24)  (5, 59)  (6, 1)  (7, 8)  (8, 7)  (9, 1)  (10, 4) 
next	(1, 3)  (3, 1)  (4, 3)  (5, 4)  (7, 2)  (8, 4)  (9, 1)  (10, 1) 
2007	(1, 6)  (2, 5)  (3, 6)  (4, 6)  (5, 18)  (7, 2)  (8, 1) 
goals	(1, 27)  (2, 1)  (3, 14)  (4, 1)  (5, 126)  (8, 3) 
Caracas	(1, 1) 
cuta	(1, 1) 
netted	(1, 2)  (5, 1) 
hat	(1, 5)  (3, 2)  (5, 38) 
trick	(1, 4)  (3, 2)  (5, 31) 
0	(1, 45)  (2, 5)  (3, 23)  (4, 8)  (5, 62)  (7, 5)  (8, 4) 
away	(1, 11)  (3, 5)  (5, 29)  (8, 1)  (10, 1) 
12	(1, 4)  (2, 2)  (3, 7)  (4, 4)  (5, 16)  (7, 10)  (8, 2) 
May	(1, 6)  (2, 5)  (3, 3)  (4, 2)  (5, 11)  (6, 2)  (7, 3)  (8, 1)  (9, 3) 
only	(1, 5)  (2, 19)  (3, 2)  (4, 16)  (5, 22)  (6, 1)  (7, 10)  (8, 9)  (9, 4)  (10, 3) 
home	(1, 8)  (2, 4)  (3, 3)  (4, 8)  (5, 32)  (7, 1)  (8, 1) 
Santiago	(1, 2)  (2, 1)  (3, 3)  (5, 1)  (6, 5)  (7, 1)  (9, 1) 
Wanderers	(1, 1)  (5, 2) 
key	(1, 2)  (2, 2)  (4, 1)  (5, 1)  (7, 1)  (8, 1) 
race	(1, 1)  (4, 1)  (10, 3) 
finally	(1, 1)  (2, 2)  (4, 1)  (6, 1)  (7, 1)  (8, 1) 
reached	(1, 4)  (2, 4)  (4, 4)  (5, 9)  (7, 6)  (8, 4) 
beat	(1, 6)  (2, 1)  (5, 1) 
Palestino	(1, 1) 
Monumental	(1, 1) 
last	(1, 4)  (2, 5)  (3, 7)  (4, 9)  (5, 12)  (7, 7)  (8, 5)  (10, 3) 
matchday	(1, 1) 
